2021-07-02 09:07:574 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-02 09:07:138 INFO  HomePage :30 - Verify loginpanel Text : [[ChromeDriver: chrome on WINDOWS (a3630aee500537b02fea1265b0c30199)] -> xpath: //div[@id='logInPanelHeading']]
2021-07-02 18:07:568 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-02 18:07:473 INFO  LoginPage :24 - Enter user Name : [[ChromeDriver: chrome on WINDOWS (6d80b64a83a517b48053ca6eac5702dc)] -> xpath: //input[@name='txtUsername']]
2021-07-02 18:07:666 INFO  LoginPage :29 - Enter password : [[ChromeDriver: chrome on WINDOWS (6d80b64a83a517b48053ca6eac5702dc)] -> xpath: //input[@name='txtPassword']]
2021-07-02 18:07:218 INFO  LoginPage :34 - Clicking on Login button : Proxy element for: DefaultElementLocator 'By.xpath: //input[@name='Submit']'
2021-07-02 18:07:254 INFO  LoginPage :38 - Verify Welcome Text : [[ChromeDriver: chrome on WINDOWS (6d80b64a83a517b48053ca6eac5702dc)] -> xpath: //a[@id='welcome']]
2021-07-02 18:07:168 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-02 18:07:343 INFO  LoginPage :24 - Enter user Name : [[ChromeDriver: chrome on WINDOWS (e83a4db128d00de4221c3a4d8e125a56)] -> xpath: //input[@name='txtUsername']]
2021-07-02 18:07:539 INFO  LoginPage :29 - Enter password : [[ChromeDriver: chrome on WINDOWS (e83a4db128d00de4221c3a4d8e125a56)] -> xpath: //input[@name='txtPassword']]
2021-07-02 18:07:238 INFO  LoginPage :34 - Clicking on Login button : Proxy element for: DefaultElementLocator 'By.xpath: //input[@name='Submit']'
2021-07-02 18:07:271 INFO  LoginPage :38 - Verify Welcome Text : [[ChromeDriver: chrome on WINDOWS (e83a4db128d00de4221c3a4d8e125a56)] -> xpath: //a[@id='welcome']]
2021-07-02 18:07:752 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-02 18:07:35 INFO  LoginPage :24 - Enter user Name : [[ChromeDriver: chrome on WINDOWS (013e5726b7cf93b57d50a5d626ff2fa8)] -> xpath: //input[@name='txtUsername']]
2021-07-02 18:07:210 INFO  LoginPage :29 - Enter password : [[ChromeDriver: chrome on WINDOWS (013e5726b7cf93b57d50a5d626ff2fa8)] -> xpath: //input[@name='txtPassword']]
2021-07-02 18:07:264 INFO  LoginPage :34 - Clicking on Login button : Proxy element for: DefaultElementLocator 'By.xpath: //input[@name='Submit']'
2021-07-02 18:07:298 INFO  LoginPage :38 - Verify Welcome Text : [[ChromeDriver: chrome on WINDOWS (013e5726b7cf93b57d50a5d626ff2fa8)] -> xpath: //a[@id='welcome']]
2021-07-02 18:07:285 INFO  BasePage :33 - Launching Chrome Browser 
2021-07-02 18:07:335 INFO  LoginPage :24 - Enter user Name : [[ChromeDriver: chrome on WINDOWS (461e982392fc7f6c85b0dc20d200252d)] -> xpath: //input[@name='txtUsername']]
2021-07-02 18:07:486 INFO  LoginPage :29 - Enter password : [[ChromeDriver: chrome on WINDOWS (461e982392fc7f6c85b0dc20d200252d)] -> xpath: //input[@name='txtPassword']]
2021-07-02 18:07:115 INFO  LoginPage :34 - Clicking on Login button : Proxy element for: DefaultElementLocator 'By.xpath: //input[@name='Submit']'
2021-07-02 18:07:133 INFO  LoginPage :38 - Verify Welcome Text : [[ChromeDriver: chrome on WINDOWS (461e982392fc7f6c85b0dc20d200252d)] -> xpath: //a[@id='welcome']]
